a	um
reputation	reputation
reputations	reputation
requisite	requisit
requisitely	requisit
reservation	reservation	reservierung
reservations	reservation
reserve	reservierung	reserve
reserver	reservierung
reserves	reserve
reserving	reservierung	reservieren
residence	residenz
residences	residenz
residency	residenz	resident
resident	resident
residents	resident
resign	design
resignation	resignation
resignations	resignation
resigns	design
resist	rest
resistance	resistenz
resistant	resistent
resistantly	resistent
resistent	resistent
resistive	rest
resists	rest
resolute	resolut
resolutely	resolut
resolution	resolution
resolutions	resolution
resolutive	resolut
resonance	resonanz
resonances	resonanz
resort	ressort
resorts	ressort
resource	ressource
resources	ressource
respect	respekt
respectable	respektabel
respectful	respektvoll
respectfully	respektvoll
respective	respektive
respectively	respektive
respects	respekt
rest	rest
restaurant	restaurant
restaurants	restaurant
rester	rest
resting	rest
restive	rest
restless	restlich
restriction	restriktion
restrictions	restriktion
restrictive	restriktiv
restrictively	restriktiv
rests	rest
result	resultieren
resulting	resultieren
ret	retten
retail	detail
retails	detail
retort	retorte
retorter	retorte
retorts	retorte
retrospective	retrospektive
retrospectively	retrospektive
revel	rebell
reverb	revier
revere	revier
revered	revier
reveries	revier
revering	revier
revers	revier
reverse	reversieren
reversible	reversibel
revertible	reversibel
revery	revier
revisal	revision
revise	revier
reviser	revier
revisers	revisor
revises	devise
revising	revision
revision	revision
revisionism	revisionismus
revisionist	revisionist
revisionists	revisionist
revisions	revision
revisor	revisor
revisors	revisor
revisory	revisor
revolt	revolte
revolts	revolte
revolution	revolution
revolutionary	revolutionär
revolutions	revolution
revolved	revolver
revolver	revolver
revolvers	revolver
rex	sex
rhapsodies	rhapsodie
rhapsodist	rhapsodie
rhapsody	rhapsodie
rhetoric	rhetorisch
rhetorical	rhetorisch
rhetorically	rhetorisch
rhetorician	rhetorisch
rho	rhone
rhodesia	rhodesien
rhodesian	rhodesien
rhodesians	rhodesien
rhomb	rhombus
rhomboid	rhombus
rhombus	rhombus
rhubarb	rhabarber
rhythm	rhythmus	rhythmen
rhythmic	rhythmisch
rhythmical	rhythmisch
rhythmically	rhythmisch
rhythmics	rhythmik
richening	rechen
richens	rechen
richter	richter
rick	ricke	recken
ricking	ricke
riff	riff
rigor	rigoros
rigorous	rigoros
rill	rille
rills	rille
rind	rinde	rind
rinds	rinde
ring	ring	ringen
ringed	ringen
ringer	ringen
ringing	ringen
rings	ring
rink	ring
riot	rot
rioter	ritter
riots	rotten	rot
ripper	rippe
ripple	rippe
rippler	rippe
rite	riten	ritter
rites	riten
ritual	ritual	rituell	rituale
ritualized	ritualisiert
ritually	rituell	ritual
rituals	ritual	rituale
ritzes	ritzen
ritzy	ritzen
rival	rival
rivaling	rival
rivalry	rivalität
rivals	rival
riviera	revier	riviera
rivieras	riviera
robbed	robben
robbery	robbe	robben
robot	roboter
robotry	roboter
robust	robust
robustly	robust
roc	rock	roch	noch
rock	rock
rocker	rocker
rockeries	rocker
rockers	rocker
rockery	rocker
rocket	rock
rod	roden
rode	roden
rodent	roden
rods	roden
roll	rollen
rolled	rollen
roller	rollen
rolling	rolling	rollen
rollings	rolling
rolls	rollen
roman	roman	romanisch
romance	romanze
romanesque	romanisch
romanian	romanisch
romano	roman
romans	roman
romantic	romantisch
romantically	romantisch
romanticism	romantik
romanticist	romantisch
romantics	romantik
romany	roman
room	raum
rosa	rosa	rose	rosine
rose	rose	rosa
rosery	rose
roses	rose	rosine
rosets	rosette
rosette	rosette
rosettes	rosette
rosily	rosig	rostig
rosin	rosine
rosiness	rosine
rosins	rosine
rosiny	rosine
roster	rost	rosten
rosy	rose	rosa
rot	rot	rotten
rotation	rotation
rotations	rotation
rote	rot	rotten
rotes	rotten
roto	rot
rotor	rotor
rotors	rotor
rots	rotten	rot
rotted	rotten
rotten	rotten
rotter	rotten	ritter
rotters	ritter
rotting	rotten
roue	ruin
roulette	roulette
roulettes	roulette
round	rund	runden
rounded	runden
rounding	runden
roundly	rundlich
rounds	runden
rouse	rose
rouses	rose
roust	rost	rösten
rousted	rösten	rosten
rouster	rösten
rousting	rostig
rousts	rösten	rost
rout	route
route	route
router	route
routes	route
routine	routine
routinely	routine
routines	routine
routinize	routinier
routinized	routiniert
routs	route
royalist	royalist
royalists	royalist
rubric	rubrik
rubrical	rubrik
rubrics	rubrik
ruck	ruck	ricke
rucksack	rucksack
rudder	ruder	rudern
rudders	ruder	rudern
ruddy	ruder
rude	ruder
ruder	ruder	rudern	rudert
rudest	ruder
rudimentary	rudimentär
rue	ruin
ruer	ruin
ruff	ruf
ruin	ruin	ruine
ruination	ruin
ruiner	ruine
ruing	ruin
ruining	ruin
ruinous	ruin
ruins	ruin	ruine
rum	rum
rumanian	romanisch
rumble	rummel
rummage	rummel
rump	rumpf
run	run	rune
rune	run	rune
runes	rune
rung	rund	run
rungs	ring
runic	run	rune
runs	run	rune
runt	rund
rupee	rupie
ruse	rose
ruses	rose
rusk	ruck
russe	russe
russet	russe
russian	russisch
rust	rüsten
rusted	rüsten
rustical	rustikal
rustically	rustikal
rusticate	rustikal
rustily	rostig	rüstig
rusts	rüsten
rut	rute
ruth	rute
ruts	rute
rutted	rotten
ryes	riese
sabbat	sabbat
sabbath	sabbat
sabbatic	sabbat
sabbatical	sabbat
sabbats	sabbat
sabotage	sabotage
sabotages	sabotage
saboteur	saboteur	saboteur
saboteurs	saboteur	saboteur
sac	sack
sachet	sache
sack	sack	sacken
sacked	sacken
sacker	sacken
sacking	sacken
sacral	sakral
sacrals	sakral
sacrament	sakrament
sacramento	sakrament
sacraments	sakrament
sacrilege	sakrileg
sadism	sadismus
sadist	sadist
sadistic	sadistisch
sadistically	sadistisch
sadists	sadist
safari	safari
sag	sagen
saga	saga	sagen
sagas	saga
sage	sagen
sageness	sagen
sager	sagen
sages	sagen
sagos	sagen
sagy	sagen
said	seiden
saids	seiden
saith	saite
salad	salat
salamander	salamander
salamanders	salamander
salami	salami
salary	salat
salmon	salm
salon	salon
salons	salon
saloon	salon
saloons	salon
salt	salz
saltily	salzig
saltish	salzig
saltless	salzlos
saltness	salz
salute	salut
saluting	salut
salvador	salvador
salve	salve	salben
salves	salve	salben
salvo	salve
sam	same
same	same
san	sang	san	sann
sanatarium	sanatorium
sanatoria	sanatorien
sanatorium	sanatorium
sanction	sanktion
sanctions	sanktion
sand	sand
sandal	sandale	sand
sandals	sandale
sandiness	sand
sanding	sandig
sandwich	sandwich
sandy	sand	sandig
sane	san
sanely	siel
sang	sang	sand	san
sanger	sänger
sangh	sang
sanitarian	sanitär
sanitaries	sanitär
sanitarium	sanitär
sanitary	sanitär
sanitorium	sanatorium
sank	sank	sang
sans	san	sang
santa	santa
sapphire	saphir
sarcasm	sarkasmus
sarcastic	sarkastisch
sarcastically	sarkastisch
sardine	sardine
sardines	sardine
saree	serie
sarees	serie
sarge	sorgen
sarges	sorgen
saris	serie
sat	satin	satt
satan	satan	satanisch
satanic	satanisch	satan
satanical	satanisch
satanically	satanisch
satanism	satanisch
satellite	satellit
satin	satin
sating	satin	singen
satins	satin
satiny	satin
satire	satire
satires	satire
satiric	satirisch
satirical	satirisch
satirically	satirisch
saturating	saturation
saturation	saturation
saturations	saturation
saturday	saturn
saturn	saturn
satyr	satyr	satire
satyric	satirisch
satyrs	satyr
sauce	sauce
saucer	sauce
sauces	sauce
saudi	saudi
sauna	sauna
saunas	sauna
saurian	saurier	sauer
saxophone	saxophon
scad	skat
scag	skat
scale	skalen	skala
scaled	skaliert	skalen
scalene	skalen
scales	skalen
scalp	skalp
scalpel	skalpell
scalping	skalp
scandal	skandal
scandaling	skandal
scandalizing	skandalös
scandalous	skandal
scandals	skandal
scandic	skandal
scandinavian	skandinavisch
scanned	scanner
scanner	scanner
scanners	scanner
scat	skat
scats	skat
scenario	szenario
scene	szene
sceneries	szenerie
scenery	szene	szenerie
scenes	szene
scenic	szenisch	szene
scenically	szenisch
scepter	zepter
sceptered	zepter
scepters	zepter
sceptic	skeptisch
sceptre	zepter
schema	schema	scheme	schemen
schemata	schemata
schematic	schematisch
schematically	schematisch
schematics	schema
scheme	scheme	schema	schemen
schemed	schemen	schämen
schemer	scheme
schemery	scheme
schemes	scheme	schemen
schick	schicken	scheck
schilling	schilling
schillings	schilling
schizophrenia	schizophrenie
schizophrenics	schizophrenie
schlep	schleppen
schlepp	schlepp	schleppen
schlepped	schleppen
schlepping	schleppen
schmaltz	schmalz	schmelz
schmalz	schmalz	schmelz
schmeered	schmieren
schmeering	schmierung
schmelze	schmelz	schmelzen
schmoos	schmaus
schmuck	schmuck	schmuckstück
schnapps	schnaps
schnaps	schnaps
schnauzer	schnauzer
schnauzers	schnauzer
scholar	schüler
scholarly	schüler
schooner	schoner
schooners	schoner
schul	schulen
schwa	schwer
schwas	schwade
sci	ski
scone	schon	schonen	schoner
scones	schonen
scorpio	skorpion
scorpion	skorpion
scorpions	skorpion
scot	schott
scott	schott
scottish	schottisch
scratchpad	scratchpad
scrips	skript
script	skript
scripting	skript
scripts	skript
scripture	skript
scruple	skrupel
scrupling	skrupel
sculptor	skulptur
sculpture	skulptur
sculptured	skulptur
scurrility	skurril
scurrilous	skurril
sea	see
seal	see
season	saison
seasonally	saisonal
seasons	saison
seat	set
sec	set
secant	sekante
secants	sekante
second	sekunde
secondary	sekundär
seconde	sekunde
seconder	sekundär
secondes	sekunde
seconds	sekunde
secrecy	sekret
secret	sekret
secretariat	sekretariat
secretariats	sekretariat
secretary	sekretär
secrete	sekret
secreting	sekret
secretion	sekretion
secretive	sekret
secretly	sekret
secretor	sekret
secrets	sekret
sect	sekt
sectarian	sektor
sectaries	sektor
sectary	sektor	hektar
section	sektion
sections	sektion
sector	sektor
sectoral	sektor
sectored	sektor
sectoring	sektor
sectors	sektor
sects	sekt	sektion
secular	säkular
secularize	säkularisieren
secularly	säkular
seculars	säkular
secunda	sekunde
seder	sieder
seders	sieder
sediment	sedimentieren	sediment
sediments	sediment
see	see	sie	set
seeded	sieden	sieder
seeder	sieder
seeders	sieder
seedily	siedelt
seeding	sieden
seedling	siedlung
seeds	sieden
seedy	sieden
seels	seele	siel
seen	see
seer	see
sees	see
segment	segment
segmenter	segment
segments	segment
seine	sein	schein
seining	sein
seismograph	seismograph
seizer	heizer
selectee	selektieren
selection	selektion
selections	selektion
selective	selektiv
selectively	selektiv
self	helfen
selfed	helfen
sell	hell
selves	selbe
semantic	semantisch	semantik
semantical	semantisch
semantically	semantisch
semanticist	semantisch
semantics	semantik
semaphore	semaphor
semester	semester
semesters	semester
semi	semit
semiformal	semiformal
seminal	seminar
seminar	seminar
seminarian	seminar
seminaries	seminar
seminars	seminar
seminary	seminar
semiotic	semiotisch	semiotik
semiotics	semiotik
semis	semit
semite	semit
senate	senat
senator	senator
senatorian	senator
senators	senator
send	sender	senden
sender	sender	senden
senders	sender
sending	senden	sendung	sender
sends	senden
senegal	senegal
senile	senil
seniles	senil
senilities	senilität
senility	senilität	senil
senior	senior
seniors	senior
senna	senner	henne
sennas	sinn
sensating	sensation
sensation	sensation
sensationally	sensationell
sensations	sensation
sensibility	sensibilität
sensible	sensibel
sensitive	sensitiv
sensitively	sensitiv
sensor	sensor
sensorium	sensor
sensors	sensor
sensory	sensor
sentiment	sentiment
sentimental	sentimental
sentimentality	sentimentalität
sentimentally	sentimental
sentiments	sentiment
seoul	seoul
separate	separat
separately	separat
separation	separation
separations	separation
separatist	separatist
separatists	separatist
septal	septisch
september	september
septic	septisch
septical	septisch
sequence	sequenz
sequences	sequenz
sequencies	sequenz
sequency	sequenz	konsequenz
sequent	konsequent
sequential	sequentiell
sequentially	sequentiell
sera	serie
seral	seriell
serb	serbe
serbia	serbien
serbian	serbien	serbisch
serbians	serbien
sere	seren
sered	seren	serie
serenade	serenade
serenades	serenade
serene	seren	sirene
serenely	sirene
serener	sirene
serenes	sirene
serenest	sirene
serer	seren
seres	seren
serf	scharf
sergings	herging
serial	seriell	serie
serialize	serialisieren
serializes	serialisieren
serially	seriell
seriating	serie
seriation	serie
series	serie
serif	serife
serin	seren
serine	seren
sering	serie
serins	seren
serious	seriös
seriousness	serie
sermonic	harmonisch
sermonize	harmonisieren
sermonizes	harmonisieren
sermonizing	harmonisierung
serpentine	serpentine
serries	serie
serum	serum	herum
serumal	serum	herum
service	service
servicer	service
services	service
serviette	serviette
serviettes	serviette
servile	servil
servility	servil
serving	servieren
sesame	sesam
sessile	sessel
session	session
sessions	session
set	set
setal	set
seton	set
sets	set
setter	setzer
setters	setzer
setting	setting
settings	setting
sex	sex	hexen
sexed	hexen
sexes	sex	hexen
sextette	sextett
sexual	sexual	sexuell
sexualities	sexualität
sexuality	sexualität	sexual
sexually	sexual	sexuell
sexy	sex
shad	schaden
shade	schaden
shaded	schaden
shader	schaden
shades	schaden
shadiness	schaden
shading	schaden
shads	schaden
shady	schaden
shaft	schacht
shafts	schacht
shah	schah
shale	schal
shales	schal
shall	schall	schallen
shalt	schalt	schalten
shaly	schal	schall	schalt
sham	scham
shame	scham
shanghai	schanghai
shantung	schaltung
share	scharen
shared	schar
shat	schatten
shatter	schatten
shaven	schaben
shawl	stahl
shawls	stahl
shed	schied
sheds	schäden
sheen	schien
sheened	schienen
sheeny	schien
sheer	schier
sheik	scheich
sheikh	scheich
shell	shell
shelled	schellen
shells	shell
shelly	shell
sheol	schein
sherbet	scherbe
sheriff	sheriff
shied	schied
shier	schier
shiers	schier
shill	schiller
shilling	schilling
shillings	schilling
shimmed	schimmer
shimmer	schimmer	schimmern
shimmered	schimmer
shimmers	schimmer	schimmern
shimmery	schimmer
shimmied	schmied
shit	scheit
shlep	schleppen
shnaps	schnaps
shock	schock	stock
shone	schon	schonen	schoner
shop	schopf
shoppe	schoppen
shoppes	schoppen
shot	schott	schote	schotte
shote	schote	schott	schotte
shotes	schote	schotte
shots	schotte	schote
should	schuld	schulden
shout	schutt
shove	schübe
shover	schober
shrank	schrank
shred	schrot
shrift	schrift
shrifts	schrift
shrike	strich
shrill	schrill	schrillen
shrilled	schrillen
shrilling	schrill
shrills	schrill	schrillen
shrilly	schrill
shul	schulen
shut	schutt
shute	schutt
shuted	schutt
shyer	schier
shyers	schier
sic	sich
sicilian	sizilianisch
sicken	sticken
sickening	sticken
sickens	sticken
sicker	sticker
sics	sie	serie
side	seiden
sided	seiden
sides	seiden	seide
siege	sieger	siegen	sieg
sieged	sieger	siegen
sieges	siegen	sieger
sieging	siegen	sieger
sieve	sieben
sieved	sieben
sift	stift	stiften	filter
sifted	stiften	filter	stifter
sifter	filter	stifter
sifters	filter	stifter
sifting	stift	stiften
sifts	stift	stiften
sigma	stigma
sigmas	stigma
sign	signal
signable	signal
signal	signal
signaling	signal
signalize	signalisieren
signalizes	signalisieren
signalizing	signalisieren
signally	signal
signals	signal
signatory	signal
signature	signatur
signatured	signatur
signee	signet
signet	signet
signets	signet
significance	signifikanz
significant	signifikant
significantly	signifikant
signify	signieren	signieren
sikh	sicher	sich	stich
silhouette	silhouette
silhouettes	silhouette
silicate	silikat
silicon	silikon
silicone	silikon
silicons	silikon
silicoses	silikose
silicosis	silikose
silo	silo	stil
siloing	silo
silted	selten
silts	selten
silver	silber	silbern
silvered	silber
silvering	silber
silvern	silbern	silber
silvers	silber
silvery	silber
silvester	silvester
simple	simpel
simplex	simplex
simplexes	simplex
simulant	simulant
simulants	simulant
simulating	simulation
simulation	simulation
simulations	simulation
simulator	simulator
simulators	simulator
sin	sinn	sinnen
since	sinken
sincere	senker	sender
sinfonia	sinfonie
sing	singen
singe	singen	sänger
singed	singen	sänger
singer	sänger	singen
singers	sänger
singes	singen
singing	singen
single	singen
singular	singular
singularly	singular
singulars	singular
sink	sinken	senken
sinker	senker	sinken
sinkers	senker
sinking	sinken
sinned	sinnen	sinnig
sinner	senner	sinnen
sinners	senner
sinning	sinnig	sinn
sinter	sinter	sintern
sintered	sinter
sinters	sintern	sinter
sinus	sinus
siphon	siphon
siphonic	siphon
siphoning	siphon
siphons	siphon
sipper	sippe
sir	sir
sire	sir
sired	sir
siren	sirene
sirens	sirene
sires	sirene
sirs	sir	stirn
sirup	sirup
sis	sie
sisal	vision
sistrum	strom
site	seite
sites	seite
siting	singen
situating	situation
situation	situation
situations	situation
sitz	sitz
skag	skat
skate	skat
skeleton	skelett
skepsis	skepsis
skeptic	skeptisch
skeptical	skeptisch
skeptically	skeptisch
sketch	sketch
sketcher	sketch
sketchy	sketch
ski	ski
skies	ski
sky	ski
slalom	slalom
slant	plan
slav	slawisch	slawe
slave	sklave
slaver	sklave
slavery	sklave
slaves	sklave
slavic	slawisch
slavish	slawisch
slavs	slawe
slaws	slawe
slip	slip
slogan	slogan
slogans	slogan
slovak	slowake
slum	slum
slush	plus
small	schmal
smart	smart
smarten	smart
smarter	smart
smarting	smart
smartly	smart
smarts	smart
smarty	smart
smelt	schmelz
smog	smog
smoking	smoking
smuggle	schmuggel
smuggled	schmuggler
smuggler	schmuggler
smugglers	schmuggler
smuttily	schmutzig
sneeze	niesen
snob	snob
so	so
sociable	sozial
social	sozial
socialism	sozialismus
socialist	sozialist	sozialistisch
socialists	sozialist
socialize	sozialisieren
socializer	sozialisieren
socializes	sozialisieren
socially	sozial
socials	sozial
societies	sozietät
society	sozietät
sociologic	soziologisch
sociological	soziologisch
sociologically	soziologisch
sociologies	soziologie
sociology	soziologie	soziologisch
sock	socke
socket	socke
socking	socke
soda	soda
sodas	soda
sodom	sodom
sodomies	sodomie
sodomite	sodom
sodomy	sodomie
sofa	sofa
sofar	sofern
sofars	sofern
sofas	sofa
sofia	sofa	sofia
software	software
softwares	software
sol	soll	sole
sold	sold
sole	sole
solely	sole
soles	sole
soli	soli	sole
solid	solide
solidary	solidarisch
solider	solide
solidest	solideste
solidi	solide
solidities	solidität
solidity	solidität
solidness	solidität
solido	solide
solids	solide
solidus	solide
solo	solo	sole
soloing	solo
soloist	solist
soloists	solist
solvencies	solvenz
solvency	solvenz	solvent
solvent	solvent
solvently	solvent
solvents	solvent
soma	sommer
somalia	somalia
son	sonne
sonata	sonate
sonde	sonde	sondieren
sonless	sollen
sonnet	sonne	sonett
sonny	sonne	sonnen
sonorous	sonor
soon	sun
soonest	sonett
sophist	sophistisch
sophistic	sophistisch
sophistical	sophistisch
sophisticate	sophistisch
sophisticated	sophistisch
soprano	sopran
sorbed	sorben
sort	sorte	sortieren
sorter	sorte
sortie	sortieren
sorties	sortieren
sorting	sortierung	sortieren
sorts	sorte
souffle	souffle
souffles	souffle
spaghetti	spaghetti
spain	spin
spale	spiel
spaller	spieler
span	spann	span	spanisch
spaniard	spanier
spanned	spannen
spanner	spannen
spanning	spannung	spann
spans	span
spar	sparer	sparen
spare	sparen	sparer
spared	sparen	sparer
sparely	sparre
spareness	sparen
sparer	sparer	sparen
sparers	sparer
spares	sparen	sparre
sparry	sparre
sparta	sparta
spartan	sparta
spate	spaten
spates	spaten
spats	spaten
spatula	spatel
spatulas	spatel
speak	steak
spear	speer
spears	speer
spec	speck
specialist	spezialist
specialists	spezialist
specialization	spezialisierung
specialize	spezialisieren	spezialist
specializes	spezialisieren
specializing	spezialisierung
specially	speziell
specialty	spezialität
specific	spezifisch
specifically	spezifisch
specificated	spezifisch
specification	spezifikation
specifications	spezifikation
specificized	spezifiziert
specified	spezifiziert
speck	speck
specking	speckig
spectacle	spektakel
spectacular	spektakulär
spectacularly	spektakulär
spectaculars	spektakulär
spectral	spektral
spectre	spektren
spectres	spektren
spectrum	spektrum
speculated	spekulativ
speculation	spekulation
speculative	spekulativ
speculatively	spekulativ
spelled	stellen
speller	spieler
spellers	spieler
spence	spenden
spencer	spender
spend	spenden	spender
spender	spender	spenden
spenders	spender
spending	spenden
spends	spenden
spermatozoan	sperma
spermatozoon	sperma
spheral	sphärisch	sphäre
sphere	sphäre
spheres	sphäre
spheric	sphärisch
spherical	sphärisch
spherically	sphärisch
sphinx	sphinx
sphinxes	sphinx
spica	spike
spice	spike
spicery	spike
spices	spike
spicily	spiel
spick	speck
spics	spie	spike
spiegel	spiegel
spiegels	spiegel
spiel	spiel	spieler	spielen
spieled	spielen	spieler
spieler	spieler
spielers	spieler
spieling	spiel	spielen
spiels	spiel	spielen
spies	spie
spike	spike
spiker	spike
spikes	spike
spiking	spike
spin	spin	spinnen
spinach	spinat
spinage	spinat
spinal	spin
spinate	spinat
spindle	spindel
spine	spin
spinet	spinett
spinner	spinner
spinneries	spinner
spinners	spinner
spinnery	spinner	spinnerei
spinny	spinner
spins	spin
spiny	spin
spiral	spirale
spirals	spirale
spital	spital
spite	spital
spitz	spitz
spleen	spleen
spleens	spleen
spleeny	spleen
splent	splint
splint	splint
splinter	splint
splintery	splitter
splinting	splint
splints	splint
split	splitt	splittern	splitten
splits	splitten
splitter	splitter	splittern
splitters	splitter	splittern
sponsor	sponsor
sponsored	sponsor
sponsors	sponsor
spontaneous	spontan
spooled	spooler
spooler	spooler
spoolers	spooler
spooling	spooling
sporadic	sporadisch
sporadically	sporadisch
spore	spore	sporn
spores	spore
sport	sport
sporter	sport
sporting	sport
sports	sport
sporty	sport
spot	spott	spotten
spots	spotten
spotted	spotten
spotter	spotten
spottiness	spott
spotting	spott
spotty	spott	spotten
sprang	sprang
spring	springen	sprung	sprint
springed	springen
springer	springer
springers	springer
springes	springen
springing	springen
springs	sprung
sprint	sprint	sprinter	sprinten
sprinted	sprinter	sprinten
sprinter	sprinter	sprint	sprinten
sprinters	sprinter
sprinting	sprint
sprints	sprint	sprinten
sprit	sprit
sprite	sprit
sprits	sprit
sprung	sprung	sprünge
spry	sprung
spun	spann	span
spur	spur	spurt
spurious	spur
spurn	spur	spüren
spurred	spüren
spurs	spur
spurt	spurt	spurten
spurted	spurten
spurting	spurt
spurts	spurt	spurten
spy	spie
squirm	schirm
sri	sri
stab	stab	stäbe
stabile	stabil
stabiles	stabil
stabilities	stabilität
stability	stabilität
stabilization	stabilisierung
stabilize	stabilisieren
stabilizer	stabilisieren	stabilisierung
stabilizes	stabilisieren
stabilizing	stabilisierung	stabilisieren
stableness	stabilität
stably	stall
stack	stack	stock
stadia	stadion
stadium	stadium	stadion
staff	stoff
stag	tag
stage	stange
stages	stange
stagnate	stagnieren
stagnates	stagnieren
stagnation	stagnation
stags	tag
stagy	stange
staid	stand	stein
stain	stein
stalag	stellage
stale	stall
stalingrad	stalingrad
stalinism	stalinismus
stalk	talk
stall	stall	stellen
stalled	stellen
stallion	stall
stalls	stall
stamen	stammen
stamens	stammen
stammer	stamm
stance	stand	stanzen
stand	stand	stande	stände
standard	standard
standardize	standardisieren
standardizes	standardisieren
standee	stande	stände
stander	ständer	stande
standers	ständer
stands	stande
stanford	stanford
stank	stank
stanza	stanzen
staph	stamm
staple	stapel
star	star	start
stardom	star
stare	star	starren
stared	star	starren
staring	star
stark	stark	stärken
starker	stärker
starling	star
starred	star	starren	starr
starring	star
starry	star	starr	start
stars	star
start	start	starter	starten
started	starter	starten
starter	starter	start
starters	starter
starting	start	starter	starten
starts	start	starten
stat	statt	statten
statable	stativ
statal	statisch
state	status	statt
stated	stativ	statt
stateside	statistin
static	statisch	statistisch	statik
statically	statisch	statistisch
statice	station
statics	statik
stating	station
station	station	stationieren
stationary	stationär
stationer	stationieren	stationär
stationeries	stationieren
stationery	stationär
stationing	stationieren
stations	station
statism	statik
statist	statistin	statist
statistic	statistisch	statistik
statistical	statistisch
statistically	statistisch
statistician	statistiker
statistics	statistik
statists	statistin	statist
stator	statur
stators	statur
stats	status	station
statue	statue
statues	statue
stature	statur
status	status	statut
statute	statut
statuting	statut
staunch	staunt
stay	tag
steak	steak
steal	steil
steed	stet
steel	stiel
steely	stiel
steer	stier	stieren
steered	stieren	stier
steerer	stieren
steers	stier
steeve	stieben
stein	stein
steins	stein
stele	stil
stella	stellen
stemmed	stemmen
steno	stein
step	steppen	stechen
steppe	steppen
stepped	steppen
steppes	steppen
stere	stieren
stereo	stereo
stereoing	stereo
stereotype	stereotyp
sterile	steril
sterility	sterilität
sterilization	sterilisierung	sterilisation
sterilizations	sterilisation
sterilize	sterilisieren
sterilizer	sterilisierung
sterilizing	sterilisierung
sterling	sterling
sterlings	sterling
steroid	steroide
steroids	steroide
stertorous	starter
stet	stet
stets	stet	stets
stetting	stettin
steward	steward
stick	sticken
sticked	sticken	sticker
sticker	sticker	stecker
stickers	sticker	stecker
stickily	stickig
stickiness	sticken
sticking	sticken	stickig
sticky	stickig
sties	stieren
stiff	stoff
stigma	stigma
stigmas	stigma
stile	stil
stiles	stil
stiletto	stilett
stilettos	stilett
still	still	stillen
stilled	stillen
stiller	stillen
stills	stillen	still
stilly	stil	still
stimulate	stimulieren
stimulation	stimulation
stimulations	stimulation
sting	stieren
stink	stinken
stinker	stinken
stinking	stinken
stipend	stipendium
stir	stirn	star	stier
stirs	stirn
stock	stock	stocken
stocked	stocken
stoically	historisch
stollen	stollen	stellen
stollens	stollen	stellen
stone	stein
stonily	steinig
stop	stoppen
stopped	stoppen
stopper	stoppen
stopping	stopp
stopple	stopp	stoppel
store	star
stork	storch	stark
storm	stoß	sturm
story	star
stoup	staupe
stout	stout	stute
stouten	stout
stoutest	stute
stoutish	stute
stoutly	stout
stouts	stout	stute
strafe	strafen	straffen
strafed	strafen	straffen
strafes	strafen	straffen
straiten	streiten
straitening	streiten
straitens	streiten
straiter	streiter
straits	streiten
strand	strand
strange	strang
strangulate	strangulieren
strategic	strategisch	strategie
strategically	strategisch
strategies	strategie
strategist	strategie
strategy	strategie	strategisch
stricken	stricken
strict	strikt
strictly	strikt
strictness	striktheit
strike	strich
striven	streben
striver	streber
strophe	strophe
strophes	strophe
struck	strick
structural	strukturell
structurally	strukturell
structure	struktur
structuring	strukturierung
strudel	strudel
strudels	strudel
strum	strom
strychnine	strychnin
stub	stube
stubs	stube
stucco	stuck
stuck	stuck
stud	studieren
studded	studie
student	student
students	student
studier	studie
studies	studie	studieren
studio	studio	studie	studium
studious	studie
studiousness	studie
study	studie
stumble	stummel
stump	stumpf
stumper	stümper
stumpers	stümper
stunk	stinken
stupid	stupid
stutter	stotter
stuttered	stotter
stutterer	stotterer
stutterers	stotterer
stutters	stotter
sty	stich
stye	stier
styes	stieren
style	stil
stylise	stilisieren
stylistically	stilistisch
stylize	stilisieren
stylizes	stilisieren
subcontinent	subkontinent
subcontinents	subkontinent
subject	subjekt	objekt
subjected	subjektiv
subjective	subjektiv
subjectively	subjektiv
subjectivity	subjektivität
subjects	subjekt
submersion	submission
submission	submission
submissions	submission
submissive	submission
subprogram	unterprogramm
substance	substanz
substances	substanz
substantial	substantiell
substantializing	substantialisierung
substantially	substantiell
substantive	substantiv
substantively	substantiv
substitution	substitution
substitutions	substitution
substrata	substrat
substrate	substrat
substratum	substrat
subsystem	subsystem
subtile	subtil
subtle	subtil
subtly	subtil
subtropical	subtropisch
subvention	subvention
subventions	subvention
subversive	subversiv
subversively	subversiv
subversives	subversiv
successive	sukzessiv
successively	sukzessiv
such	suchen	sucher
sudan	sudan
suez	suez
suffix	suffix
suffixes	suffix
suffragist	infrage
suggesting	suggestion
suggestion	suggestion
suggestions	suggestion
suggestive	suggestiv
suggestively	suggestiv
suggests	suggestion
suit	suite
suite	suite
suites	suite
suits	suite
sullen	sollen
sultan	sultan
sultana	sultan
sultanas	sultan
sultanic	sultan
sultans	sultan
sum	summe
sumatra	sumatra
summa	summe
summary	summarisch
summed	sommer
summer	sommer	summer	summe
summered	sommer	summer
summerly	sommer	summer	sommerlich
summers	sommer	summer
summertime	sommer	summer
summery	sommer	summer	summe
summing	summierung
sump	sumpf
sun	sun
sundae	sonde
sunday	sonntag
sung	sun
sunned	sonnen
sunnily	sonnig	sinnig
sunny	sonne
suns	sun
superlative	superlativ
superlatively	superlativ
supper	suppe
sure	surren
sureness	surren
surfboard	surfbrett
surged	sorgen
surging	vorging
surmount	vormontieren
surname	namen	name	vorname
